"file.name","TMAO-d9","GABA-d6","Choline-d9","Creatinine-d3","Orn-15N2","His-15N","Carnitine-d3","MeHis-d3","F-Phe","F-Tyr","Cl-Tyr"
"20230202_1_12",9.164266666667,12.933166666667,10.0353,11.643366666667,10.320066666667,11.877883333333,15.261566666667,12.36365,21.92835,22.98365,23.385666666667
"",10.1023,13.7875,10.939833333333,12.5144,11.2246,12.748916666667,16.04885,13.234683333333,22.564883333333,23.620183333333,23.9887
"",10.990083333333,14.608283333333,11.827633333333,13.38545,12.112383333333,13.61995,16.836133333333,14.072266666667,23.234916666667,24.23995,24.625216666667
"",11.877883333333,15.412316666667,12.715416666667,14.223016666667,12.983433333333,14.440783333333,17.606666666667,14.9098,23.871433333333,24.859733333333,25.228283333333
"",12.782416666667,16.2331,13.6032,15.06055,13.8545,15.295066666667,18.4107,15.730583333333,24.507966666667,25.47955,25.848066666667
"",13.68695,17.0539,14.474283333333,15.91485,14.72555,16.1326,19.197983333333,16.568116666667,25.161283333333,26.099316666667,26.467833333333
"",14.558033333333,17.874683333333,15.328566666667,16.735633333333,15.563083333333,16.953383333333,19.968516666667,17.37215,25.781066666667,26.70235,27.054116666667
"",15.412316666667,18.678716666667,16.18285,17.556416666667,16.417366666667,17.774166666667,20.70555,18.19295,26.400833333333,27.305383333333,27.640383333333
"",16.24985,19.48275,17.003633333333,18.39395,17.254898958333,18.594966666667,21.442583333333,18.996983333333,27.020616666667,27.89165,28.226666666667
"",17.1209,20.303533333333,17.891433333333,19.248233333333,18.125933333333,19.41575,22.213116666667,19.817766666667,27.640383333333,28.477933333333,28.812933333333
"",18.025433333333,21.090816666667,18.779216666667,20.069016666667,18.963483333333,20.219783333333,22.95015,20.60505,28.243416666667,29.08095,29.399216666667
"",18.946716666667,21.8781,19.65025,20.889816666667,19.801016666667,21.023816666667,23.703933333333,21.392333333333,28.8632,29.667233333333,29.985483333333
"",19.817766666667,22.665383333333,20.50455,21.69385,20.6218,21.8111,24.457716666667,22.179616666667,29.482966666667,30.27025,30.571766666667
"20230202_110_121",8.904666666667,12.640083333333,9.7757,11.367033333333,10.043716666667,11.601533333333,14.985183333333,12.0873,21.652016666667,22.7073,23.092566666667
"",9.842716666667,13.511116666667,10.6635,12.271566666667,10.965016666667,12.489316666667,15.789216666667,12.9751,22.338783333333,23.360583333333,23.7626
"",10.78075,14.38215,11.635033333333,13.15935,11.8863,13.393866666667,16.61005,13.846133333333,23.042316666667,24.047366666667,24.432633333333
"",11.718783333333,15.23645,12.556333333333,14.04715,12.807583333333,14.28165,17.414083333333,14.717166666667,23.7291,24.70065,25.085916666667
"",12.656833333333,16.073983333333,13.444116666667,14.918183333333,13.728883333333,15.152683333333,18.234866666667,15.588216666667,24.415883333333,25.370666666667,25.739183333333
"",13.561366666667,16.91155,14.3654,15.789216666667,14.616666666667,16.006983333333,19.05565,16.442533333333,25.102666666667,26.02395,26.392466666667
"",14.482666666667,17.76585,15.26995,16.64355,15.50445,16.87805,19.876433333333,17.280065625,25.772683333333,26.693983333333,27.04575
"",15.37045,18.620133333333,16.140983333333,17.497833333333,16.3755,17.715583333333,20.680466666667,18.134366666667,26.442716666667,27.3305,27.699066666667
"",16.258233333333,19.474416666667,17.012066666667,18.385616666667,17.246565625,18.586633333333,21.4845,18.98865,27.11275,28.000583333333,28.318833333333
"",17.129317708333,20.3287,17.9166,19.2399,18.134366666667,19.440916666667,22.271783333333,19.842933333333,27.766066666667,28.62035,28.972116666667
"",18.06735,21.166233333333,18.804383333333,20.1277,19.02215,20.2952,23.059066666667,20.680466666667,28.4361,29.273633333333,29.60865
"",19.02215,22.003783333333,19.742433333333,20.998733333333,19.909933333333,21.132733333333,23.84635,21.518,29.106116666667,29.926916666667,30.245166666667
"",19.960183333333,22.858066666667,20.663716666667,21.853016666667,20.780966666667,21.970266666667,24.650383333333,22.355533333333,29.7929,30.580183333333,30.89845
"20230202_12_QCs_146b",8.5538828125,12.2023,9.403516666667,10.95285,9.653416666667,11.169416666667,14.468016666667,11.635883333333,20.981883333333,22.031433333333,22.43125
"",9.503466666667,13.068583333333,10.33645,11.85245,10.586333333333,12.069016666667,15.300983333333,12.535483333333,21.698233333333,22.731116666667,23.13095
"",10.4364,13.951566666667,11.269366666667,12.752066666667,11.5026,12.968633333333,16.1173,13.418466666667,22.4146,23.430816666667,23.813983333333
"",11.369333333333,14.817866666667,12.185633333333,13.6517,12.418866666667,13.868283333333,16.950266666667,14.301416666667,23.1476,24.11385,24.497016666667
"",12.30225,15.68415,13.1019,14.53465,13.335166666667,14.751216666667,17.783233333333,15.184366666667,23.8473,24.81355,25.18005
"",13.21855,16.533783333333,14.018216666667,15.4176,14.25145,15.634166666667,18.59955,16.050666666667,24.56365,25.479933333333,25.846433333333
"",14.134833333333,17.383416666667,14.917816666667,16.283883333333,15.15105,16.500466666667,19.432516666667,16.900283333333,25.2467,26.162966666667,26.512816666667
"",15.0511,18.2497,15.800766666667,17.133516666667,16.034,17.3501,20.248866666667,17.766583333333,25.929733333333,26.829366666667,27.162566666667
"",15.9507,19.116,16.700383333333,18.033133333333,16.91695,18.216383333333,21.081833333333,18.632866666667,26.6128,27.479083333333,27.812283333333
"",16.850316666667,19.982316666667,17.599983333333,18.916083333333,17.7999,19.099333333333,21.914816666667,19.499166666667,27.295833333333,28.1288,28.462
"",17.766583333333,20.83195,18.51625,19.799033333333,18.6995,19.965666666667,22.714466666667,20.348833333333,27.962216666667,28.795183333333,29.09505
"",18.6995,21.681583333333,19.432516666667,20.66535,19.58245,20.815283333333,23.514116666667,21.1818,28.611933333333,29.428233333333,29.744766666667
